station_id;name_official;name_long;name_short;name_alternative;stations_metastation;LV95_e;LV95_n;LV95_h;WGS84_e;WGS84_n;WGS84_h
0000002;Bucuresti;None;None;None;None;4070576;1096469;0;26.074412;44.446770;0
0000003;Calais;None;None;None;None;2203533;1653944;0;1.811446;50.901549;0
0000004;Canterbury;None;None;None;None;2155238;1700468;0;1.075329;51.284212;0
0000005;Exeter;None;None;None;None;1825306;1674873;0;-3.543547;50.729172;0
0000008;Frankfurt Flughafen;None;None;None;None;2681113;1545702;0;8.569550;50.053120;0
0000009;Gdansk;None;None;None;None;3332368;2078796;0;18.643803;54.355520;0
0000011;Grenchen;None;None;None;0000011,8500159,8500202,8504363,8577914,8577917,8577943,8594134;2596286;1226751;0;7.389619;47.191698;0
0000013;Istanbul;None;None;None;None;None;None;None;None;None;None
0000019;Avignon;None;None;None;0000019,8731896,8776500;2386707;866796;0;4.786044;43.921937;0
0000021;Barcelona;None;None;None;None;2155059;594974;0;2.140369;41.378914;0
0000022;Basel;None;None;None;0000022,8500010,8500146,8578143,8589313;2611363;1266310;0;7.589563;47.547412;0
0000024;Bern Bümpliz;None;None;None;0000024,8504106,8504489,8579523,8589226;2596696;1198490;0;7.395238;46.937487;0
0000027;Birmingham;None;None;None;None;1964047;1854388;0;-1.899480;52.483627;0
0000031;Bruxelles;None;None;None;None;2380967;1636644;0;4.335694;50.835376;0
0000034;Liverpool;None;None;None;None;1904574;1965873;0;-2.979650;53.404289;0
0000039;Moskau;None;None;None;None;4477206;2555040;0;37.654246;55.777402;0
0000043;Poznan;None;None;None;None;3248260;1842625;0;16.934558;52.366166;0
0000047;Lyon;None;None;None;0000047,8728262,8769712,8769834,8772115,8772202,8772319;2397912;1069279;0;4.841839;45.745054;0
0000048;Madrid;None;None;None;None;1654421;546075;0;-3.682351;40.472153;0
0000051;Manchester;None;None;None;None;1954507;1967254;0;-2.242480;53.473728;0
0000053;Marne-la-Vallée-Chessy;None;None;None;0000053,8711184,8758822,8775499,8798948;2258450;1423585;0;2.782876;48.870272;0
0000058;St. Petersburg;None;None;None;None;3897758;2855943;0;30.357393;59.956957;0
0000059;Tägerwilen;None;None;None;0000059,8502511,8506132,8506163,8506198,8582498;2727273;1280149;0;9.132979;47.659615;0
0000062;Valencia;None;None;None;None;1922441;399240;0;-0.381761;39.458012;0
0000085;Schönbühl;None;None;None;0000085,8508001,8508057,8508072,8511155,8589042;2604584;1207546;0;7.498928;47.018942;0
0000108;Biberist;None;None;None;0000108,8508068,8508089,8578086,8578087,8589216,8591785;2608883;1225885;0;7.555831;47.183860;0
0000119;Helgoland;None;None;None;None;2631480;2007122;0;7.916857;54.186604;0
0000121;Helsinki Airport;None;None;None;None;3591271;2812736;0;25.007437;60.290218;0
0000122;Den Haag;None;None;None;None;2385539;1774320;0;4.322673;52.069584;0
0000123;Figueres;None;None;None;None;2228056;689357;0;2.943027;42.264780;0
0000124;Freienbach;None;None;None;0000124,8503210,8503289,8581268,8581269,8581273;2699820;1229323;0;8.756219;47.207311;0
0000126;Ostrava;None;None;None;None;3377391;1576496;0;18.267262;49.852085;0
0000128;Aix-en-Provence;None;None;None;0000128,8731901,8775140;2427998;813569;0;5.317224;43.455171;0
