id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8502495;;ch:1:sloid:2495;Zürich Wollishofen, Bahnhof;;;;;8502495,8503009,8503681,8591080,8591081;8.533322;47.348125;0;EPSG:4326;2682716;1244718;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.802862;1
8503009;;ch:1:sloid:3009;Zürich Wollishofen;;ZWOL;;;8502495,8503009,8503681,8591080,8591081;8.533601;47.347440;0;EPSG:4326;2682738;1244642;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804392;1
8591080;;ch:1:sloid:91080;Zürich Wollishofen, Bhf/Werft;Zürich Wollishofen, Bahnhof/Werft;;;;8502495,8503009,8503681,8591080,8591081;8.534345;47.347586;0;EPSG:4326;2682794;1244659;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902994;1
8591081;;ch:1:sloid:91081;Zürich Wollishofen,Bhf/Staubst;Zürich Wollishofen, Bahnhof/Staubstrasse;;;;8502495,8503009,8503681,8591080,8591081;8.532918;47.347033;0;EPSG:4326;2682687;1244596;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902998;1
8503681;;ch:1:sloid:3681;Zürich Wollishofen (See);;;;;8502495,8503009,8503681,8591080,8591081;8.536657;47.345468;0;EPSG:4326;2682972;1244426;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.806579;1
8502572;;ch:1:sloid:2572;Zürich, Goldbrunnenplatz;;;;;;8.513918;47.370293;0;EPSG:4326;2681216;1247162;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.803142;2
8503000;;ch:1:sloid:3000;Zürich HB;;ZUE;Curych hl. n.;;8503000,8503088,8587348,8587349,8591067,8591368,8596126;8.540212;47.378177;0;EPSG:4326;2683190;1248066;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804359;3
8503088;;ch:1:sloid:3088;Zürich HB SZU;;ZUSZ;;;8503000,8503088,8587348,8587349,8591067,8591368,8596126;8.539358;47.377393;0;EPSG:4326;2683126;1247978;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804594;3
8587348;;ch:1:sloid:87348;Zürich, Bahnhofplatz/HB;;;;;8503000,8503088,8587348,8587349,8591067,8591368,8596126;8.539338;47.377241;0;EPSG:4326;2683125;1247961;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.887972;3
8587349;;ch:1:sloid:87349;Zürich, Bahnhofquai/HB;;;;;8503000,8503088,8587348,8587349,8591067,8591368,8596126;8.541742;47.377560;0;EPSG:4326;2683306;1247999;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.887977;3
8591067;;ch:1:sloid:91067;Zürich, Bahnhofstrasse/HB;;;;;8503000,8503088,8587348,8587349,8591067,8591368,8596126;8.539461;47.376222;0;EPSG:4326;2683136;1247848;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902939;3
8503001;;ch:1:sloid:3001;Zürich Altstetten;;ZAS;West Link;;8503001,8591056,8591057;8.488963;47.391483;0;EPSG:4326;2679300;1249492;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804364;4
8591056;;ch:1:sloid:91056;Zürich Altstetten, Bahnhof;;;;;8503001,8591056,8591057;8.488376;47.391109;0;EPSG:4326;2679256;1249450;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902885;4
8591057;;ch:1:sloid:91057;Zürich Altstetten, Bahnhof N;;;;;8503001,8591056,8591057;8.489905;47.392066;0;EPSG:4326;2679370;1249558;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902892;4
8503003;;ch:1:sloid:3003;Zürich Stadelhofen;;ZSTH;Stadelhofen;;8503003,8503059,8505333,8576193,8576195;8.548489;47.366610;0;EPSG:4326;2683833;1246789;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804370;5
8503059;;ch:1:sloid:3059;Zürich Stadelhofen, Bahnhof;;ZSTF;;;8503003,8503059,8505333,8576193,8576195;8.548130;47.366350;0;EPSG:4326;2683806;1246760;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804484;5
8503004;;ch:1:sloid:3004;Zürich Tiefenbrunnen;;ZTB;;;8503004,8505332,8576182;8.561390;47.350125;0;EPSG:4326;2684833;1244970;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804374;6
8505332;;ch:1:sloid:5332;Zürich Tiefenbrunnen (See);;;;;8503004,8505332,8576182;8.560585;47.349862;0;EPSG:4326;2684773;1244940;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.811819;6
8576182;;ch:1:sloid:76182;Zürich Tiefenbrunnen, Bahnhof;;;;;8503004,8505332,8576182;8.560994;47.350416;0;EPSG:4326;2684803;1245002;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.858810;6
8503006;;ch:1:sloid:3006;Zürich Oerlikon;;ZOER;;;8503006,8580449,8591062,8591063;8.544140;47.411530;0;EPSG:4326;2683434;1251778;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804379;7
8580449;;ch:1:sloid:80449;Zürich Oerlikon, Bahnhof;;;;;8503006,8580449,8591062,8591063;8.544790;47.411496;0;EPSG:4326;2683483;1251775;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.875159;7
8591062;;ch:1:sloid:91062;Zürich Oerlikon, Bahnhof Nord;;;;;8503006,8580449,8591062,8591063;8.543934;47.412404;0;EPSG:4326;2683417;1251875;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902915;7
8591382;;ch:1:sloid:91382;Zürich, Sternen Oerlikon;;;;;;8.546231;47.410070;0;EPSG:4326;2683594;1251618;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904313;7
8591063;;ch:1:sloid:91063;Zürich Oerlikon, Bahnhof Ost;;;;;8503006,8580449,8591062,8591063;8.545848;47.413339;0;EPSG:4326;2683560;1251981;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902919;7
8503007;;ch:1:sloid:3007;Zürich Seebach;;ZSEB;;;8503007,8591127,8591354,8591355;8.544660;47.418750;0;EPSG:4326;2683462;1252581;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804383;8
8503008;;ch:1:sloid:3008;Zürich Affoltern;;ZAF;;;8503008,8576262,8591054;8.508583;47.420909;0;EPSG:4326;2680737;1252784;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804388;9
8591054;;ch:1:sloid:91054;Zürich Affoltern, Bahnhof;;;;;8503008,8576262,8591054;8.507418;47.421184;0;EPSG:4326;2680648;1252813;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902880;9
8503010;;ch:1:sloid:3010;Zürich Enge;;ZEN;Enge;;8503010,8591058,8591059;8.530821;47.364099;0;EPSG:4326;2682502;1246491;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804397;10
8591058;;ch:1:sloid:91058;Zürich Enge, Bahnhof;;;;;8503010,8591058,8591059;8.531574;47.364128;0;EPSG:4326;2682559;1246495;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902896;10
8591059;;ch:1:sloid:91059;Zürich Enge, Bahnhof/Bederstr.;;;;;8503010,8591058,8591059;8.530457;47.364552;0;EPSG:4326;2682474;1246541;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902901;10
8503011;;ch:1:sloid:3011;Zürich Wiedikon;;ZWIE;;;8503011,8573710,8591218;8.523485;47.371477;0;EPSG:4326;2681937;1247304;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804401;11
8573710;;ch:1:sloid:73710;Zürich Wiedikon, Bahnhof;;;;;8503011,8573710,8591218;8.524189;47.371429;0;EPSG:4326;2681990;1247299;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.848277;11
8503015;;ch:1:sloid:3015;Zürich Wipkingen;;ZWIP;;;8503015,8591066;8.529382;47.393039;0;EPSG:4326;2682349;1249707;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804406;12
8591066;;ch:1:sloid:91066;Zürich Wipkingen, Bahnhof;;;;;8503015,8591066;8.529526;47.393444;0;EPSG:4326;2682359;1249752;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.902933;12
8503016;;ch:1:sloid:3016;Zürich Flughafen;;ZFH;Aéroport Zurich;;8503016,8573205;8.562402;47.450386;0;EPSG:4326;2684750;1256117;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.804410;13
8573205;;ch:1:sloid:73205;Zürich Flughafen, Bahnhof;;;;;8503016,8573205;8.563747;47.450161;0;EPSG:4326;2684852;1256094;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.846309;13
