id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp
;;;"Fontanil-Cornillon;45.250270; LEP F. DOLTO";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.862726
;;;"Tullins;45.307606; FURES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863074
;;;"Tullins;45.304974; MICHEL PERRET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863078
;;;"Vourey;45.319523; PRESSOIR";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863081
;;;"Tullins;45.298850; ECOLE DESMOULINS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863092
;;;"Moirans;45.319073; SCHNEIDER";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863116
;;;"Voreppe;45.278110; CHEVALON";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863119
;;;"Voreppe;45.268130; BASCULE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863122
;;;"Voreppe;45.273780; CAFE ADRAIT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863126
;;;"Voreppe;45.309834; MALOSSANE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863129
;;;"Voreppe;45.302590; MONUMENT AUX MORTS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863142
;;;"Voreppe;45.298130; DOCTEUR THEVENET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863148
;;;"Voreppe;45.280285; CHASSOLIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863152
;;;"Voreppe;45.285490; VOLOUISE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863155
;;;"Renage;45.339092; LES PRAIRIES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863503
;;;"Renage;45.339848; ZA LE PLAN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863507
;;;"Charnècles;45.345490; MAIRIE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863515
;;;"Charnècles;45.342186; PONT DE BOIS VERT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863519
;;;"Rives;45.352646; MALADIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863522
;;;"Renage;45.337690; LA CROZE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863528
;;;"Rives;45.349915; LIBERATION";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863534
;;;"Rives;45.354004; ALLIMAND";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863538
;;;"Rives;45.351070; COLLEGE R DESNOS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863544
;;;"Renage;45.334114; EGLISE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863550
;;;"Renage;45.331684; PLACE CARDINALE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863553
;;;"Moirans;45.330536; CHALET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863556
;;;"Moirans;45.322216; GARE SNCF";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863560
;;;"Moirans;45.326843; SAINT JACQUES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863563
;;;"Moirans;45.326706; POMPIERS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863567
;;;"Moirans;45.326030; PARC DE LA GRILLE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863570
;;;"Saint-Jean-de-Moirans;45.341680; PLACE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863573
;;;"Voiron;45.363613; CROIX MORIN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863576
;;;"Voiron;45.359800; EDGAR KOFLER";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863579
;;;"La Buisse;45.335373; PLACE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863583
;;;"La Sure en Chartreuse;45.350240; VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863590
;;;"La Sure en Chartreuse;45.350533; LAC";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863594
;;;"La Sure en Chartreuse;45.349670; LE GARREL";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863597
;;;"La Buisse;45.331615; LE GAY GIRATOIRE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.863600
